time_band,groups_served,groups_rejected
10:00 - 10:10,1,0
10:20 - 10:30,1,0
10:30 - 10:40,2,0
10:40 - 10:50,1,0
10:50 - 11:00,7,0
11:00 - 11:10,15,0
11:10 - 11:20,17,0
11:20 - 11:30,19,0
11:30 - 11:40,24,0
11:40 - 11:50,18,6
11:50 - 12:00,16,4
12:00 - 12:10,7,0
12:10 - 12:20,9,0
12:20 - 12:30,8,0
12:30 - 12:40,10,0
12:40 - 12:50,17,0
12:50 - 13:00,20,0
13:00 - 13:10,27,1
13:10 - 13:20,11,15
13:20 - 13:30,14,20
13:30 - 13:40,16,15
13:40 - 13:50,11,14
13:50 - 14:00,16,5
14:00 - 14:10,11,2
14:10 - 14:20,8,0
14:20 - 14:30,7,0
14:30 - 14:40,2,0
14:40 - 14:50,4,0
14:50 - 15:00,8,0
15:00 - 15:10,9,0
15:10 - 15:20,10,0
15:20 - 15:30,9,0
15:30 - 15:40,16,0
15:40 - 15:50,18,0
15:50 - 16:00,14,0
16:00 - 16:10,18,0
16:10 - 16:20,15,0
16:20 - 16:30,8,0
16:30 - 16:40,14,0
16:40 - 16:50,10,0
16:50 - 17:00,9,0
17:00 - 17:10,14,0
17:10 - 17:20,10,0
17:20 - 17:30,11,0
17:30 - 17:40,16,0
17:40 - 17:50,12,0
17:50 - 18:00,10,0
18:00 - 18:10,5,0
18:10 - 18:20,7,0
18:20 - 18:30,4,0
18:30 - 18:40,2,0
18:40 - 18:50,2,0
18:50 - 19:00,1,0
19:00 - 19:10,1,0
