time_band,groups_served,groups_rejected
10:00 - 10:10,1,0
10:30 - 10:40,1,0
10:40 - 10:50,2,0
10:50 - 11:00,4,0
11:00 - 11:10,6,0
11:10 - 11:20,12,0
11:20 - 11:30,15,0
11:30 - 11:40,20,0
11:40 - 11:50,14,0
11:50 - 12:00,15,0
12:00 - 12:10,7,0
12:10 - 12:20,4,0
12:20 - 12:30,6,0
12:30 - 12:40,8,0
12:40 - 12:50,11,0
12:50 - 13:00,15,0
13:00 - 13:10,20,0
13:10 - 13:20,19,0
13:20 - 13:30,21,6
13:30 - 13:40,11,9
13:40 - 13:50,14,5
13:50 - 14:00,14,0
14:00 - 14:10,9,0
14:10 - 14:20,5,0
14:20 - 14:30,4,0
14:30 - 14:40,4,0
14:40 - 14:50,3,0
14:50 - 15:00,5,0
15:00 - 15:10,8,0
15:10 - 15:20,11,0
15:20 - 15:30,9,0
15:30 - 15:40,11,0
15:40 - 15:50,13,0
15:50 - 16:00,12,0
16:00 - 16:10,14,0
16:10 - 16:20,15,0
16:20 - 16:30,10,0
16:30 - 16:40,9,0
16:40 - 16:50,8,0
16:50 - 17:00,5,0
17:00 - 17:10,8,0
17:10 - 17:20,5,0
17:20 - 17:30,8,0
17:30 - 17:40,8,0
17:40 - 17:50,11,0
17:50 - 18:00,5,0
18:00 - 18:10,7,0
18:10 - 18:20,5,0
18:20 - 18:30,3,0
18:30 - 18:40,1,0
18:40 - 18:50,1,0
