time_band,groups_served,groups_rejected
10:20 - 10:30,1,0
10:30 - 10:40,1,0
10:40 - 10:50,3,0
10:50 - 11:00,4,0
11:00 - 11:10,14,0
11:10 - 11:20,14,0
11:20 - 11:30,13,0
11:30 - 11:40,17,0
11:40 - 11:50,15,0
11:50 - 12:00,13,0
12:00 - 12:10,8,0
12:10 - 12:20,6,0
12:20 - 12:30,8,0
12:30 - 12:40,13,0
12:40 - 12:50,11,0
12:50 - 13:00,16,0
13:00 - 13:10,18,0
13:10 - 13:20,22,0
13:20 - 13:30,18,3
13:30 - 13:40,15,11
13:40 - 13:50,8,12
13:50 - 14:00,17,0
14:00 - 14:10,10,0
14:10 - 14:20,5,0
14:20 - 14:30,6,0
14:30 - 14:40,3,0
14:40 - 14:50,2,0
14:50 - 15:00,5,0
15:00 - 15:10,6,0
15:10 - 15:20,7,0
15:20 - 15:30,9,0
15:30 - 15:40,11,0
15:40 - 15:50,15,0
15:50 - 16:00,11,0
16:00 - 16:10,13,0
16:10 - 16:20,10,0
16:20 - 16:30,12,0
16:30 - 16:40,9,0
16:40 - 16:50,7,0
16:50 - 17:00,4,0
17:00 - 17:10,10,0
17:10 - 17:20,9,0
17:20 - 17:30,16,0
17:30 - 17:40,12,0
17:40 - 17:50,10,0
17:50 - 18:00,9,0
18:00 - 18:10,4,0
18:10 - 18:20,3,0
18:20 - 18:30,1,0
18:30 - 18:40,2,0
18:40 - 18:50,1,0
