time_band,groups_served,groups_rejected
10:30 - 10:40,1,0
10:40 - 10:50,2,0
10:50 - 11:00,3,0
11:00 - 11:10,7,0
11:10 - 11:20,14,0
11:20 - 11:30,11,0
11:30 - 11:40,19,0
11:40 - 11:50,16,0
11:50 - 12:00,11,0
12:00 - 12:10,5,0
12:10 - 12:20,6,0
12:20 - 12:30,7,0
12:30 - 12:40,10,0
12:40 - 12:50,11,0
12:50 - 13:00,14,0
13:00 - 13:10,19,0
13:10 - 13:20,15,0
13:20 - 13:30,22,0
13:30 - 13:40,18,0
13:40 - 13:50,18,0
13:50 - 14:00,15,0
14:00 - 14:10,8,0
14:10 - 14:20,6,0
14:20 - 14:30,4,0
14:30 - 14:40,4,0
14:40 - 14:50,3,0
14:50 - 15:00,6,0
15:00 - 15:10,6,0
15:10 - 15:20,9,0
15:20 - 15:30,10,0
15:30 - 15:40,10,0
15:40 - 15:50,13,0
15:50 - 16:00,12,0
16:00 - 16:10,12,0
16:10 - 16:20,8,0
16:20 - 16:30,9,0
16:30 - 16:40,7,0
16:40 - 16:50,7,0
16:50 - 17:00,7,0
17:00 - 17:10,10,0
17:10 - 17:20,8,0
17:20 - 17:30,10,0
17:30 - 17:40,10,0
17:40 - 17:50,11,0
17:50 - 18:00,7,0
18:00 - 18:10,4,0
18:10 - 18:20,5,0
18:20 - 18:30,2,0
18:30 - 18:40,2,0
18:40 - 18:50,1,0
